feature_family_id	sample_stem	status	area	apex_rt	peak_start_rt	peak_end_rt	neutral_loss_tag	family_center_mz	family_center_rt	area_baseline_corrected	area_uncertainty	area_uncertainty_formula_version	baseline_residual_mad	area_uncertainty_noise_source	baseline_type	baseline_score	uncertainty_fraction	baseline_fraction	integration_scan_count	area_baseline_corrected_asls	baseline_score_asls
FAM000002	TumorBC2263_DNA	duplicate_assigned	1.08662e+07	11.5674	11.4844	11.6502	DNA_dR	242.114	12.1866	7.73897e+06	4311.28	baseline_residual_mad_v1	779.875	asls_residual	linear_edge	0.712206	0.000396761	0.712206	5	1.08529e+07	0.998773
FAM000002	TumorBC2312_DNA	duplicate_assigned	9.30906e+07	12.1866	12.1038	12.3468	DNA_dR	242.114	12.1866	7.48289e+07	32441.8	baseline_residual_mad_v1	8383.65	asls_residual	linear_edge	0.803829	0.000348497	0.803829	7	9.28371e+07	0.997277
FAM000003	BenignfatBC1055_DNA	detected	3.53563e+07	12.642	12.4352	12.8071	DNA_dR	242.114	12.3726	3.12883e+07	20901.6	baseline_residual_mad_v1	2671.89	asls_residual	linear_edge	0.884943	0.000591172	0.884943	10	3.52535e+07	0.997091
FAM000003	BenignfatBC1151_DNA	detected	3.95403e+07	12.6673	12.4619	12.832	DNA_dR	242.114	12.3726	3.47286e+07	26639.1	baseline_residual_mad_v1	3414.04	asls_residual	linear_edge	0.878311	0.00067372	0.878311	10	3.94135e+07	0.996793
FAM000003	Breast_Cancer_Tissue_pooled_QC3	detected	4.83419e+07	12.1813	12.057	12.2639	DNA_dR	242.114	12.3726	3.70892e+07	20450	baseline_residual_mad_v1	3372.84	asls_residual	linear_edge	0.767227	0.000423029	0.767227	6	4.82698e+07	0.998509
FAM000003	Breast_Cancer_Tissue_pooled_QC5	detected	5.23444e+07	12.4051	12.198	12.5698	DNA_dR	242.114	12.3726	4.34833e+07	34228.5	baseline_residual_mad_v1	4684.78	asls_residual	linear_edge	0.830715	0.00065391	0.830715	10	5.21689e+07	0.996648
FAM000003	NormalBC2263_DNA	rescued	6.3133e+07	12.6797	12.5137	12.8454	DNA_dR	242.114	12.3726	5.0671e+07	37073.8	baseline_residual_mad_v1	4989.11	asls_residual	linear_edge	0.802607	0.000587232	0.802607	9	6.29615e+07	0.997283
FAM000003	NormalBC2312_DNA	detected	8.51033e+07	12.6515	12.4578	12.8154	DNA_dR	242.114	12.3726	6.66893e+07	44570.6	baseline_residual_mad_v1	8196.44	asls_residual	linear_edge	0.783628	0.000523724	0.783628	10	8.47925e+07	0.996349
FAM000003	TumorBC2263_DNA	detected	1.08662e+07	11.5674	11.4844	11.6502	DNA_dR	242.114	12.3726	7.73897e+06	4307.57	baseline_residual_mad_v1	779.048	asls_residual	linear_edge	0.712206	0.00039642	0.712206	5	1.08528e+07	0.998768
FAM000003	TumorBC2312_DNA	detected	9.30906e+07	12.1866	12.1038	12.3468	DNA_dR	242.114	12.3726	7.48289e+07	32441.8	baseline_residual_mad_v1	8383.65	asls_residual	linear_edge	0.803829	0.000348497	0.803829	7	9.28371e+07	0.997277
